SA4 Code,Area,Rating,Working Age Employment Rate (%),Unemployment Rate (%),Proportion of the working age on JobSeeker Income Support (%),Proportion of the working age on JobSeeker Income Support (%) for 2 or more years,Job Vacancy Rate (%),Job Matching Efficiency Rate (%),"Underemployment Rate (%)
(GCCSA)","Vacancy Fill Rate (%) (GCCSA)",Annual Median Income Growth Rate (%),Skill Underutilisation Rate (%)
102,Central Coast,Average,76.9,3.9,6.6,2.4,2.9,79.5,5.1,69.9,8.7,21.1
115,Sydney - Baulkham Hills and Hawkesbury,Strong,79.8,3.3,2.0,0.5,2.9,89.7,5.1,69.9,7.2,25.3
116,Sydney - Blacktown,Above average,77.0,4.6,5.3,1.5,2.9,83.5,5.1,69.9,6.7,35.0
117,Sydney - City and Inner South,Average,77.0,3.9,3.5,1.0,2.9,61.9,5.1,69.9,1.6,28.7
118,Sydney - Eastern Suburbs,Strong,80.2,2.6,2.1,0.5,2.9,80.8,5.1,69.9,1.5,24.5
119,Sydney - Inner South West,Above average,74.3,4.2,4.9,1.3,2.9,86.9,5.1,69.9,10.8,35.6
120,Sydney - Inner West,Strong,78.3,3.3,2.9,0.7,2.9,76.2,5.1,69.9,6.0,28.9
121,Sydney - North Sydney and Hornsby,Strong,78.3,3.2,1.7,0.4,2.9,89.3,5.1,69.9,4.4,24.6
122,Sydney - Northern Beaches,Strong,81.9,2.3,1.7,0.4,2.9,87.8,5.1,69.9,5.2,24.3
123,Sydney - Outer South West,Above average,77.6,4.1,5.4,1.5,2.9,82.2,5.1,69.9,8.2,26.0
124,Sydney - Outer West and Blue Mountains,Above average,79.0,3.9,5.3,1.7,2.9,82.4,5.1,69.9,7.8,23.6
125,Sydney - Parramatta,Average,73.1,4.8,5.3,1.4,2.9,83.7,5.1,69.9,9.4,36.2
126,Sydney - Ryde,Strong,78.4,3.6,2.4,0.6,2.9,82.7,5.1,69.9,6.0,28.9
127,Sydney - South West,Poor,68.1,5.2,7.2,2.2,2.9,73.5,5.1,69.9,10.1,30.7
128,Sydney - Sutherland,Strong,83.7,2.2,2.3,0.7,2.9,90.2,5.1,69.9,7.1,21.7
101,Capital Region,Above average,78.8,2.9,5.5,2.1,2.0,84.6,6.2,69.0,6.0,22.3
103,New South Wales - Central West,Above average,80.6,3.3,6.7,2.6,2.2,79.7,6.2,69.0,4.5,19.7
104,Coffs Harbour - Grafton,Poor,72.8,4.3,9.8,3.8,5.6,66.4,6.2,69.0,6.0,22.2
105,Far West and Orana,Poor,74.1,3.7,11.1,5.0,4.5,54.2,6.2,69.0,3.1,20.6
106,Hunter Valley exc Newcastle,Below average,76.0,4.1,6.9,2.6,2.3,61.6,6.2,69.0,8.1,18.1
107,Illawarra,Average,76.9,4.3,5.8,2.1,2.1,70.2,6.2,69.0,7.1,21.5
108,Mid North Coast,Poor,72.4,3.8,9.7,4.1,3.3,71.8,6.2,69.0,6.5,20.0
109,Murray,Average,79.7,3.9,7.0,2.8,7.9,64.6,6.2,69.0,2.5,20.9
110,New England and North West,Below average,78.5,4.3,9.4,4.1,3.8,75.6,6.2,69.0,4.0,20.9
111,Newcastle and Lake Macquarie,Above average,80.1,3.9,5.6,2.2,2.1,77.3,6.2,69.0,7.5,19.8
112,Richmond - Tweed,Average,78.3,3.2,8.2,3.0,2.3,71.2,6.2,69.0,7.7,24.5
