ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,,
1111,Chief Executives and Managing Directors,"63,000",15,31,N/A,50,"3,400",,
1112,General Managers,"69,300",9,33,N/A,48,-400,,
1113,Legislators,"2,700",24,57,N/A,54,-200,,
1211,Aquaculture Farmers,"1,900",27,15,N/A,47,0,,
1212,Crop Farmers,"34,700",22,19,N/A,52,-600,,
1213,Livestock Farmers,"72,400",26,32,N/A,60,"-4,000",,
1214,Mixed Crop and Livestock Farmers,"28,300",17,24,N/A,56,500,,
1311,"Advertising, Public Relations and Sales Manager","167,100",10,44,"2,677",42,"2,400",,
1321,Corporate Services Managers,"23,000",17,66,"2,932",48,400,,
1322,Finance Managers,"77,900",12,53,"2,904",45,"2,100",,
1323,Human Resource Managers,"95,300",11,59,"2,768",44,"1,000",,
1324,Policy and Planning Managers,"41,900",11,60,"2,945",45,"2,800",,
1325,Research and Development Managers,"20,500",13,54,"2,887",48,"1,100",,
1331,Construction Managers,"134,300",7,11,"3,751",42,"2,700",,
1332,Engineering Managers,"33,500",4,18,"3,519",45,"1,100",,
1333,"Importers, Exporters and Wholesalers","17,700",22,23,"1,846",52,-700,,
1334,Manufacturers,"19,400",26,23,N/A,45,"-2,000",,
1335,Production Managers,"64,700",4,16,"2,298",47,700,,
1336,"Supply, Distribution and Procurement Managers","56,700",7,24,"2,834",45,"2,500",,
1341,Child Care Centre Managers,"17,200",19,95,"1,983",43,-400,,
1342,Health and Welfare Services Managers,"51,200",17,66,"2,720",47,"4,500",,
1343,School Principals,"30,000",7,66,N/A,50,900,,
1344,Other Education Managers,"16,200",16,58,"2,724",47,600,,
1351,ICT Managers,"95,800",6,25,"3,310",45,"4,100",,
1391,Commissioned Officers (Management),"4,400",6,9,"3,542",46,0,,
1392,Senior Non-Commissioned Defence Force Officers,"4,000",10,16,N/A,44,N/A,,
1399,Other Specialist Managers,"72,200",11,43,"2,845",45,"1,600",,
1411,Cafe and Restaurant Managers,"63,700",23,50,"1,644",38,-400,,
1412,Caravan Park and Camping Ground Managers,"3,200",15,48,"1,519",51,200,,
1413,Hotel and Motel Managers,"18,500",18,39,"1,827",44,-200,,
1414,Licensed Club Managers,"7,800",17,37,"1,765",56,400,,
1419,Other Accommodation and Hospitality Managers,"8,300",46,61,"1,923",54,-400,,
1421,Retail Managers,"247,500",18,48,"1,620",42,300,,
1491,"Amusement, Fitness and Sports Centre Managers","20,300",23,48,"1,538",38,900,,
1492,"Call, Contact Centre and Customer Service Managers","38,500",8,43,"2,206",42,-700,,
1493,Conference and Event Organisers,"31,200",25,72,"1,634",38,100,,
1494,Transport Services Managers,"23,400",11,22,"2,652",47,"2,200",,
1499,"Other Hospitality, Retail and Service Managers","91,200",15,39,"2,115",46,-200,,
2111,"Actors, Dancers and Other Entertainers","8,400",59,54,"1,692",33,500,,
2112,Music Professionals,"11,900",58,46,"1,766",45,200,,
2113,Photographers,"14,200",47,54,"1,840",35,-200,,
2114,Visual Arts and Crafts Professionals,"15,300",40,59,"2,081",56,"1,300",,
2121,"Artistic Directors, Media Producers and Presenters","13,800",13,35,"2,179",40,200,,
2122,"Authors, and Book and Script Editors","6,800",38,69,N/A,53,300,,
2123,"Film, Television, Radio and Stage Directors","17,400",22,28,"1,975",35,800,,
2124,Journalists and Other Writers,"23,000",18,65,"1,722",40,-300,,
2211,Accountants,"215,500",16,54,"2,003",42,"5,800",,
2212,"Auditors, Company Secretaries and Corporate Treasurers","33,100",12,50,"2,104",40,800,,
2221,Financial Brokers,"53,000",15,40,"2,576",42,"3,900",,
2222,Financial Dealers,"19,400",15,34,"2,651",41,-400,,
2223,Financial Investment Advisers and Managers,"63,400",20,40,"2,582",44,900,,
2231,Human Resource Professionals,"84,700",16,73,"1,970",38,-200,,
2232,ICT Trainers,"3,700",29,43,N/A,47,400,,
2233,Training and Development Professionals,"33,700",19,63,"1,956",44,"1,600",,
2241,"Actuaries, Mathematicians and Statisticians","12,600",17,49,"2,072",38,500,,
2242,"Archivists, Curators and Records Managers","9,800",31,82,"2,279",41,400,,
2243,Economists,"4,600",10,36,"2,862",35,-100,,
