ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
1111,Chief Executives and Managing Directors,63000,15,31,N/A,50,3400,,
1112,General Managers,69300,9,33,N/A,48,-400,,
1113,Legislators,2700,24,57,N/A,54,-200,,
1211,Aquaculture Farmers,1900,27,15,N/A,47,0,,
1212,Crop Farmers,34700,22,19,N/A,52,-600,,
1213,Livestock Farmers,72400,26,32,N/A,60,-4000,,
1214,Mixed Crop and Livestock Farmers,28300,17,24,N/A,56,500,,
1311,Advertising Public Relations and Sales Manager,167100,10,44,2677,42,2400,,
1321,Corporate Services Managers,23000,17,66,2932,48,400,,
1322,Finance Managers,77900,12,53,2904,45,2100,,
1323,Human Resource Managers,95300,11,59,2768,44,1000,,
1324,Policy and Planning Managers,41900,11,60,2945,45,2800,,
1325,Research and Development Managers,20500,13,54,2887,48,1100,,
1331,Construction Managers,134300,7,11,3751,42,2700,,
1332,Engineering Managers,33500,4,18,3519,45,1100,,
1333,Importers Exporters and Wholesalers,17700,22,23,1846,52,-700,,
1334,Manufacturers,19400,26,23,N/A,45,-2000,,
1335,Production Managers,64700,4,16,2298,47,700,,
1336,Supply Distribution and Procurement Managers,56700,7,24,2834,45,2500,,
1341,Child Care Centre Managers,17200,19,95,1983,43,-400,,
1342,Health and Welfare Services Managers,51200,17,66,2720,47,4500,,
1343,School Principals,30000,7,66,N/A,50,900,,
1344,Other Education Managers,16200,16,58,2724,47,600,,
1351,ICT Managers,95800,6,25,3310,45,4100,,
1391,Commissioned Officers (Management),4400,6,9,3542,46,0,,
1392,Senior Non-Commissioned Defence Force Officers,4000,10,16,N/A,44,N/A,,
1399,Other Specialist Managers,72200,11,43,2845,45,1600,,
1411,Cafe and Restaurant Managers,63700,23,50,1644,38,-400,,
1412,Caravan Park and Camping Ground Managers,3200,15,48,1519,51,200,,
1413,Hotel and Motel Managers,18500,18,39,1827,44,-200,,
1414,Licensed Club Managers,7800,17,37,1765,56,400,,
1419,Other Accommodation and Hospitality Managers,8300,46,61,1923,54,-400,,
1421,Retail Managers,247500,18,48,1620,42,300,,
1491,Amusement Fitness and Sports Centre Managers,20300,23,48,1538,38,900,,
1492,Call Contact Centre and Customer Service Managers,38500,8,43,2206,42,-700,,
1493,Conference and Event Organisers,31200,25,72,1634,38,100,,
1494,Transport Services Managers,23400,11,22,2652,47,2200,,
1499,Other Hospitality Retail and Service Managers,91200,15,39,2115,46,-200,,
2111,Actors Dancers and Other Entertainers,8400,59,54,1692,33,500,,
2112,Music Professionals,11900,58,46,1766,45,200,,
2113,Photographers,14200,47,54,1840,35,-200,,
2114,Visual Arts and Crafts Professionals,15300,40,59,2081,56,1300,,
2121,Artistic Directors Media Producers and Presenters,13800,13,35,2179,40,200,,
2122,Authors and Book and Script Editors,6800,38,69,N/A,53,300,,
2123,Film Television Radio and Stage Directors,17400,22,28,1975,35,800,,
2124,Journalists and Other Writers,23000,18,65,1722,40,-300,,
2211,Accountants,215500,16,54,2003,42,5800,,
2212,Auditors Company Secretaries and Corporate Treasurers,33100,12,50,2104,40,800,,
2221,Financial Brokers,53000,15,40,2576,42,3900,,
2222,Financial Dealers,19400,15,34,2651,41,-400,,
2223,Financial Investment Advisers and Managers,63400,20,40,2582,44,900,,
2231,Human Resource Professionals,84700,16,73,1970,38,-200,,
2232,ICT Trainers,3700,29,43,N/A,47,400,,
2233,Training and Development Professionals,33700,19,63,1956,44,1600,,
2241,Actuaries Mathematicians and Statisticians,12600,17,49,2072,38,500,,
2242,Archivists Curators and Records Managers,9800,31,82,2279,41,400,,
2243,Economists,4600,10,36,2862,35,-100,,
2244,Intelligence and Policy Analysts,44500,20,64,2173,39,2700,,
2245,Land Economists and Valuers,13800,13,27,2744,40,100,,
2246,Librarians,11900,37,80,1841,50,0,,
2247,Management and Organisation Analysts,105800,17,48,2444,43,200,,
2249,Other Information and Organisation Professionals,55000,19,50,2189,39,1300,,
2251,Advertising and Marketing Professionals,103100,18,63,1957,36,3000,,
2252,ICT Sales Professionals,16200,6,29,2003,40,-1300,,
2253,Public Relations Professionals,32300,26,70,2046,39,1300,,
2254,Technical Sales Representatives,26600,8,34,2596,42,-1000,,
