Year,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
Jun-08,3127.8,2445.8,2023.9,679.4,1130.9,193.3,86.8,143.1
Jun-09,3167,2450.4,1994.4,658.7,1110.7,194.4,91.9,141.6
Jun-10,3247.2,2534.3,2006.8,679.7,1152.4,197.7,94.8,143.4
Jun-11,3405,2660.8,2101.9,703.1,1218.2,203.6,96.4,146.4
Jun-12,3432.6,2665.7,2117.4,695.5,1291,206.5,105.4,157.6
Jun-13,3349.5,2649.3,2107.4,682.3,1316.8,191.6,109,152.5
Jun-14,3391.7,2640.4,2113.8,677.4,1290.8,197.7,109.5,156.4
Jun-15,3488,2689.7,2081.8,667.7,1245.5,195.5,108.9,164.4
Jun-16,3530.9,2696.1,2068.8,662.9,1233.5,194.3,107.4,162.2
Jun-17,3603.7,2790,2089.1,668.2,1193,198.7,112.6,165.8
Jun-18,3748.6,2881.7,2176.5,688.6,1195.5,202.6,108.2,178.7
Jun-19,3877,3004.4,2190.3,699,1203.3,208.5,103.1,187.2
Jun-20,3766.8,2978.3,2154.9,697.2,1209.1,209.2,96.1,187.7
Jun-21,3973.9,3084.7,2303.3,734.6,1289,222.6,103,197.7
Jun-22,4008.2,3227.8,2427.2,776.8,1373.8,230.8,107.9,204.9
Jun-23,4192.9,3342,2533.6,793.6,1433.8,236.9,113.1,206.7
Jun-24,4286.5,3393.3,2630.2,821.6,1494.3,242.9,115.9,211.3
